product,price,category,rating
Essence Mascara Lash Princess,9.99,beauty,2.56
Eyeshadow Palette with Mirror,19.99,beauty,2.86
Powder Canister,14.99,beauty,4.64
Red Lipstick,12.99,beauty,4.36
Red Nail Polish,8.99,beauty,4.32
Calvin Klein CK One,49.99,fragrances,4.37
Chanel Coco Noir Eau De,129.99,fragrances,4.26
Dior J'adore,89.99,fragrances,3.8
Dolce Shine Eau de,69.99,fragrances,3.96
Gucci Bloom Eau de,79.99,fragrances,2.74
Annibale Colombo Bed,1899.99,furniture,4.77
Annibale Colombo Sofa,2499.99,furniture,3.92
Bedside Table African Cherry,299.99,furniture,2.87
Knoll Saarinen Executive Conference Chair,499.99,furniture,4.88
Wooden Bathroom Sink With Mirror,799.99,furniture,3.59
Apple,1.99,groceries,4.19
Beef Steak,12.99,groceries,4.47
Cat Food,8.99,groceries,3.13
Chicken Meat,9.99,groceries,3.19
Cooking Oil,4.99,groceries,4.8
Cucumber,1.49,groceries,4.07
Dog Food,10.99,groceries,4.55
Eggs,2.99,groceries,2.53
Fish Steak,14.99,groceries,3.78
Green Bell Pepper,1.29,groceries,3.25
Green Chili Pepper,0.99,groceries,3.66
Honey Jar,6.99,groceries,3.97
Ice Cream,5.49,groceries,3.39
Juice,3.99,groceries,3.94
Kiwi,2.49,groceries,4.93
